사용월,시간대,지하철역,평균배차간격,호선명,Lati,Long,승차인원수,승차혼잡도,열차운행횟수,지하철역순서,하차인원수,하차혼잡도,혼잡도
2021-01-01 오전 12:00:00,05:00:00~05:59:59,길음,,4호선,37.60341,127.02505,7291,7291,1,18,1738,1738,7291
2021-01-01 오전 12:00:00,06:00:00~06:59:59,길음,9분 30초,4호선,37.60341,127.02505,22346,3192.285714286,7,18,7435,1062.142857143,3192.285714286
2021-01-01 오전 12:00:00,07:00:00~07:59:59,길음,4분 27초,4호선,37.60341,127.02505,64325,4594.642857143,14,18,8452,603.714285714,4594.642857143
2021-01-01 오전 12:00:00,08:00:00~08:59:59,길음,2분 58초,4호선,37.60341,127.02505,71487,3574.35,20,18,21280,1064,3574.35
2021-01-01 오전 12:00:00,09:00:00~09:59:59,길음,3분 16초,4호선,37.60341,127.02505,36562,2031.222222222,18,18,17059,947.722222222,2031.222222222
2021-01-01 오전 12:00:00,10:00:00~10:59:59,길음,4분 17초,4호선,37.60341,127.02505,23165,1654.642857143,14,18,12218,872.714285714,1654.642857143
2021-01-01 오전 12:00:00,11:00:00~11:59:59,길음,5분 24초,4호선,37.60341,127.02505,20166,1833.272727273,11,18,13024,1184,1833.272727273
2021-01-01 오전 12:00:00,12:00:00~12:59:59,길음,5분 38초,4호선,37.60341,127.02505,21806,1982.363636364,11,18,15589,1417.181818182,1982.363636364
2021-01-01 오전 12:00:00,13:00:00~13:59:59,길음,5분 39초,4호선,37.60341,127.02505,22142,2214.2,10,18,16734,1673.4,2214.2
2021-01-01 오전 12:00:00,14:00:00~14:59:59,길음,5분 38초,4호선,37.60341,127.02505,19889,1808.090909091,11,18,17605,1600.454545455,1808.090909091
2021-01-01 오전 12:00:00,15:00:00~15:59:59,길음,5분 32초,4호선,37.60341,127.02505,19608,1782.545454545,11,18,21426,1947.818181818,1782.545454545
2021-01-01 오전 12:00:00,16:00:00~16:59:59,길음,5분 5초,4호선,37.60341,127.02505,21061,1914.636363636,11,18,26060,2369.090909091,1914.636363636
2021-01-01 오전 12:00:00,17:00:00~17:59:59,길음,5분 32초,4호선,37.60341,127.02505,22714,2064.909090909,11,18,37156,3377.818181818,2064.909090909
2021-01-01 오전 12:00:00,18:00:00~18:59:59,길음,3분 50초,4호선,37.60341,127.02505,21933,1370.8125,16,18,66383,4148.9375,1370.8125
2021-01-01 오전 12:00:00,19:00:00~19:59:59,길음,3분 33초,4호선,37.60341,127.02505,12660,744.705882353,17,18,54486,3205.058823529,744.705882353
2021-01-01 오전 12:00:00,20:00:00~20:59:59,길음,3분 41초,4호선,37.60341,127.02505,11029,689.3125,16,18,31788,1986.75,689.3125
2021-01-01 오전 12:00:00,21:00:00~21:59:59,길음,4분 25초,4호선,37.60341,127.02505,9392,670.857142857,14,18,36648,2617.714285714,670.857142857
2021-01-01 오전 12:00:00,22:00:00~22:59:59,길음,7분 51초,4호선,37.60341,127.02505,4790,684.285714286,7,18,17138,2448.285714286,684.285714286
2021-01-01 오전 12:00:00,23:00:00~23:59:59,길음,8분 55초,4호선,37.60341,127.02505,1309,218.166666667,6,18,6382,1063.666666667,218.166666667
2021-01-01 오전 12:00:00,05:00:00~05:59:59,남태령,13분 45초,4호선,37.46387,126.98913,400,133.333333333,3,1,100,33.333333333,133.333333333
2021-01-01 오전 12:00:00,06:00:00~06:59:59,남태령,9분 5초,4호선,37.46387,126.98913,653,108.833333333,6,1,1186,197.666666667,108.833333333
