자치구별(1),자치구별(2),성별(1),성별(2),2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
합계,소계,합계,소계,487214,470041,449250,414524,384681,358097,329393,312277,303908,300058,296417,294299,293589,287865,287110,283678,277092,268980,255671,240210,220696
합계,소계,합계,남자,237238,229443,220602,205290,191262,177694,163490,155515,151317,149550,147701,146410,146057,143215,142867,141103,137580,133178,126612,118626,109297
합계,소계,합계,여자,249976,240598,228648,209234,193419,180403,165903,156762,152591,150508,148716,147889,147532,144650,144243,142575,139512,135802,129059,121584,111399
합계,종로구,합계,소계,10637,10629,9941,8276,7223,6076,5464,5263,5133,5127,5102,5062,5076,4940,4980,4936,4821,4736,4473,4287,3944
합계,종로구,합계,남자,4754,5035,4905,4144,3628,2889,2538,2518,2447,2466,2424,2388,2422,2323,2368,2331,2246,2225,2075,1997,1850
합계,종로구,합계,여자,5883,5594,5036,4132,3595,3187,2926,2745,2686,2661,2678,2674,2654,2617,2612,2605,2575,2511,2398,2290,2094
합계,중구,합계,소계,6780,6382,5863,4788,4366,3994,3494,3333,3255,3159,3093,3116,3072,3016,3031,3002,2967,2880,2780,2616,2420
합계,중구,합계,남자,2929,2764,2522,2101,1966,1822,1694,1608,1558,1516,1464,1475,1441,1430,1429,1409,1400,1348,1296,1226,1118
합계,중구,합계,여자,3851,3618,3341,2687,2400,2172,1800,1725,1697,1643,1629,1641,1631,1586,1602,1593,1567,1532,1484,1390,1302
합계,용산구,합계,소계,9506,9372,9155,8429,7866,7276,6792,6404,6237,6172,6036,6025,5978,5863,5838,5725,5653,5450,5208,4928,4516
합계,용산구,합계,남자,4344,4312,4317,4113,3871,3574,3329,3136,3066,3009,2932,2935,2913,2877,2877,2802,2771,2675,2545,2417,2204
합계,용산구,합계,여자,5162,5060,4838,4316,3995,3702,3463,3268,3171,3163,3104,3090,3065,2986,2961,2923,2882,2775,2663,2511,2312
합계,성동구,합계,소계,15394,14937,13848,13539,12304,11323,10227,9522,9290,9073,8922,8857,8794,8667,8735,8757,8639,8404,8094,7638,7061
합계,성동구,합계,남자,7517,7243,6780,6574,5968,5470,4908,4655,4598,4478,4393,4335,4259,4213,4231,4231,4172,4039,3894,3656,3400
합계,성동구,합계,여자,7877,7694,7068,6965,6336,5853,5319,4867,4692,4595,4529,4522,4535,4454,4504,4526,4467,4365,4200,3982,3661
합계,광진구,합계,소계,20691,19304,17642,15155,13667,12742,11820,11174,10922,10857,10627,10591,10581,10331,10396,10293,10074,9812,9286,8798,8096
합계,광진구,합계,남자,9739,9241,8521,7340,6606,6097,5646,5342,5209,5196,5126,5141,5130,5012,5028,4963,4876,4733,4494,4235,3887
합계,광진구,합계,여자,10952,10063,9121,7815,7061,6645,6174,5832,5713,5661,5501,5450,5451,5319,5368,5330,5198,5079,4792,4563,4209
